SUID,univid,response
1786,5e84a9f41ead1a77be3bd385,Academic excellence
1786,5e84a9f41ead1a77be3bd385,Academic excellence
2203,5c9e895334cda4f3677e7141,Internationality
2203,5c9e418d34cda4f3677e25c3,Academic excellence
2203,5c9e3ffb34cda4f3677e233b,Academic excellence
2203,5c9e7cb934cda4f3677e69ff,Specialization
2203,5c9e5fc334cda4f3677e4a29,Practical relevance / professionalization
2203,5c9e636734cda4f3677e5027,Specialization
2203,5c9e61c234cda4f3677e4d7b,Specialization
2203,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
2203,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
2203,5c9e49df34cda4f3677e3365,Internationality
2203,5c9e5c9634cda4f3677e44fb,Specialization
2203,5c9e884834cda4f3677e6f8b,Practical relevance / professionalization
2934,5c9e677634cda4f3677e5643,Internationality
2934,5c9e41e234cda4f3677e264d,Internationality
2934,5c9e63c734cda4f3677e50c3,Internationality
2934,5c9e5dbd34cda4f3677e46e7,Soft skills and digital literacy
170,5c9e5d6334cda4f3677e464d,Soft skills and digital literacy
170,5c9e7d5334cda4f3677e6b03,Internationality
170,5e8c6df1dc39552aa1e7bdf3,Internationality
2161,5c9e49f334cda4f3677e3385,Internationality
2161,5c9e5a4734cda4f3677e4135,Internationality
2161,5c9e8aa234cda4f3677e7365,Specialization
2161,5c9e7c2734cda4f3677e690f,Internationality
2161,5c9e5fc334cda4f3677e4a29,Academic excellence
2161,5e85b1eee7d33897f89a8d22,Practical relevance / professionalization
2161,5c9e4e2c34cda4f3677e3a6d,Specialization
2161,5c9e8c2b34cda4f3677e73fd,Specialization
2161,5c9e7bc334cda4f3677e6869,Soft skills and digital literacy
2161,5c9e519734cda4f3677e4003,Academic excellence
804,5c9e636634cda4f3677e5025,Soft skills and digital literacy
804,5c9e7d6034cda4f3677e6b19,Specialization
804,5e8c6df1dc39552aa1e7bdf3,Soft skills and digital literacy
804,5c9e373c34cda4f3677e14ef,Internationality
804,5c9e7d8334cda4f3677e6b4f,Practical relevance / professionalization
804,5c9e60b534cda4f3677e4bbf,Academic excellence
804,5c9e67b134cda4f3677e56a3,Academic excellence
804,5c9e64f934cda4f3677e521d,Academic excellence
804,5c9e7dfd34cda4f3677e6c17,Internationality
804,5c9e718634cda4f3677e6369,Specialization
804,5c9e636734cda4f3677e5027,Soft skills and digital literacy
2994,5c9e645734cda4f3677e51ab,Internationality
2994,5c9e35b234cda4f3677e126b,Practical relevance / professionalization
2994,5c9e4a0434cda4f3677e33a1,Internationality
2994,5c9e519734cda4f3677e4003,Specialization
2994,5c9e40c434cda4f3677e2481,Internationality
2994,5c9e3fa734cda4f3677e22b9,Specialization
2994,5c9e639934cda4f3677e5077,Internationality
2994,5c9e7d7a34cda4f3677e6b41,Specialization
2994,5c9e5cf434cda4f3677e4593,Specialization
2994,5c9e7d6934cda4f3677e6b27,Specialization
2994,5c9e636a34cda4f3677e502b,Practical relevance / professionalization
1140,5c9e4dfb34cda4f3677e3a15,Internationality
1140,5c9e5b5e34cda4f3677e42fb,Practical relevance / professionalization
1140,5c9e677634cda4f3677e5643,Internationality
1140,5c9e645734cda4f3677e51ab,Specialization
1140,5c9e6be834cda4f3677e5d83,Specialization
1140,5c9e4d6a34cda4f3677e3927,Internationality
